单元	序号	课文	篇章	页码
第一单元				1
	1	古诗词三首		2
			四时田园杂兴（其二十五）	2
			宿新市徐公店	2
			清平乐·村居	3
	2	乡下人家		4
	3	天窗		7
	4	※ 三月桃花水		10
	◎	口语交际：转述		11
	◎	习作：我的乐园		12
	◎	语文园地		13
				
第二单元				15
	5	琥珀		16
	6	飞向蓝天的恐龙		20
	7	纳米技术就在我们身边		24
	8	※ 千年梦圆在今朝		26
	◎	口语交际：说新闻		29
	◎	习作：我的奇思妙想		30
	◎	语文园地		31
	◎	快乐读书吧：探索科学的奥秘		33
				
第三单元				35
	9	短诗三首		36
			繁星（七一）	36
			繁星（一三一）	36
			繁星（一五九）	3710
	10	绿		3811
	11	白桦		40
	12	※ 在天晴了的时候		42
	◎	综合性学习：轻叩诗歌大门		44
	◎	语文园地		45
				
第四单元				47
	13	猫		48
	14	母鸡		51
	15	白鹅		54
	◎	习作：我的动物朋友		59
	◎	语文园地		60
				
第五单元				63
	16	海上日出		64
	17	记金华的双龙洞		
	◎	习作例文：		
			颐和园	70
			七月的天山	72
	◎	习作：游________		74
				
第六单元				75
	18	文言文二则		76
			囊萤夜读	76
			铁杵成针	76
	19	小英雄雨来（节选）		78
	20	※ 我们家的男子汉		87
	21	※ 芦花鞋		91
	◎	口语交际：朋友相处的秘诀		97
	◎	习作：我学会了________		98
	◎	语文园地		99
				
第七单元				101
	22	古诗三首		102
			芙蓉楼送辛渐	102
			塞下曲	102
			墨梅	103
	23	黄继光		104
	24	“诺曼底号”遇难记		109
	25	※ 挑山工		114
	◎	口语交际：自我介绍		117
	◎	习作：我的“自画像”		118
	◎	语文园地		119
				
第八单元				121
	26	宝葫芦的秘密（节选）		122
	27	巨人的花园		125
	28	※ 海的女儿		129
	◎	习作：故事新编		134
	◎	语文园地		135
				
识字表				137
写字表				140
词语表				142
