序号,篇名,作者,2022年版（75篇）,2011年版（75篇）,2001年版（70篇）
1,江南（江南可采莲）,汉乐府,1,1,1
2,长歌行（青青园中葵）,汉乐府,2,2, 
3,敕勒歌（敕勒川）,北朝民歌,3,3,2
4,咏鹅（鹅鹅鹅）,骆宾王,4,4,3
5,风（解落三秋叶）,李峤,5,5,4
6,咏柳（碧玉妆成一树高）,贺知章,6,6,5
7,回乡偶书（少小离家老大回）,贺知章,7,7, 
8,凉州词（黄河远上白云间）,王之涣,8,8,6
9,登鹳雀楼（白日依山尽）,王之涣,9,9,7
10,春晓（春眠不觉晓）,孟浩然,10,10,8
11,凉州词（葡萄美酒夜光杯）,王翰,11,11,9
12,出塞（秦时明月汉时关）,王昌龄,12,12,10
13,芙蓉楼送辛渐（寒雨连江夜入吴）,王昌龄,13,13,11
14,鹿柴（空山不见人）,王维,14,14,12
15,送元二使安西（渭城朝雨浥轻尘）,王维,15,15,13
16,九月九日忆山东兄弟（独在异乡为异客）,王维,16,16,14
17,静夜思（床前明月光）,李白,17,17,15
18,古朗月行（小时不识月）,李白,18,18,16
19,望庐山瀑布（日照香炉生紫烟）,李白,19,19,17
20,赠汪伦（李白乘舟将欲行）,李白,20,20,18
21,黄鹤楼送孟浩然之广陵（故人西辞黄鹤楼）,李白,21,21,19
22,早发白帝城（朝辞白帝彩云间）,李白,22,22,20
23,望天门山（天门中断楚江开）,李白,23,23,21
24,别董大（千里黄云白日曛）,高适,24,24,22
25,绝句（两个黄鹂鸣翠柳）,杜甫,25,25,23
26,春夜喜雨（好雨知时节）,杜甫,26,26,24
27,绝句（迟日江山丽）,杜甫,27,27,25
28,江畔独步寻花（黄师塔前江水东）,杜甫,28,28,26
29,枫桥夜泊（月落乌啼霜满天）,张继,29,29,27
30,滁州西涧（独怜幽草涧边生）,韦应物,30,30, 
31,渔歌子（西塞山前白鹭飞）,张志和,31,31,30
32,塞下曲（月黑雁飞高）,卢纶,32,32,31
33,游子吟（慈母手中线）,孟郊,33,33,28
34,早春呈水部张十八员外（天街小雨润如酥）,韩愈,34,34, 
35,望洞庭（湖光秋月两相和）,刘禹锡,35,35,32
36,浪淘沙（九曲黄河万里沙）,刘禹锡,36,36,33
37,赋得古原草送别（离离原上草）,白居易,37,37,34
38,池上（小娃撑小艇）,白居易,38,38,35
39,忆江南（江南好）,白居易,39,39,36
40,小儿垂钓（蓬头稚子学垂纶）,胡令能,40,40,37
41,悯农（锄禾日当午）,李绅,41,41,38
42,悯农（春种一粒粟）,李绅,42,42,39
43,江雪（千山鸟飞绝）,柳宗元,43,43,29
44,寻隐者不遇（松下问童子）,贾岛,44,44,40
45,山行（远上寒山石径斜）,杜牧,45,45,41
46,清明（清明时节雨纷纷）,杜牧,46,46,42
47,江南春（千里莺啼绿映红）,杜牧,47,47,43
48,蜂（不论平地与山尖）,罗隐,48,48,45
49,江上渔者（江上往来人）,范仲淹,49,49,46
50,元日（爆竹声中一岁除）,王安石,50,50,47
51,泊船瓜洲（京口瓜洲一水间）,王安石,51,51,48
52,书湖阴先生壁（茅檐长扫净无苔）,王安石,52,52,49
53,六月二十七日望湖楼醉书（黑云翻墨未遮山）,苏轼,53,53,50
54,饮湖上初晴后雨（水光潋滟晴方好）,苏轼,54,54,51
55,惠崇春江晚景（竹外桃花三两枝）,苏轼,55,55,52
56,题西林壁（横看成岭侧成峰）,苏轼,56,56,53
57,夏日绝句（生当作人杰）,李清照,57,57,54
58,三衢道中（梅子黄时日日晴）,曾几,58,58, 
59,示儿（死去元知万事空）,陆游,59,59,55
60,秋夜将晓出篱门迎凉有感（三万里河东入海）,陆游,60,60,56
61,四时田园杂兴（昼出耘田夜绩麻）,范成大,61,61,57
62,四时田园杂兴（梅子金黄杏子肥）,范成大,62,62,58
63,小池（泉眼无声惜细流）,杨万里,63,63,59
64,晓出净慈寺送林子方（毕竟西湖六月中）,杨万里,64,64,60
65,春日（胜日寻芳泗水滨）,朱熹,65,65,61
66,观书有感（半亩方塘一鉴开）,朱熹,66,66, 
67,题临安邸（山外青山楼外楼）,林升,67,67,62
68,游园不值（应怜屐齿印苍苔）,叶绍翁,68,68,63
69,乡村四月（绿遍山原白满川）,翁卷,69,69,64
70,墨梅（我家洗砚池头树）,王冕,70,70,65
71,石灰吟（千锤万凿出深山）,于谦,71,71,66
72,竹石（咬定青山不放松）,郑燮,72,72,67
73,所见（牧童骑黄牛）,袁枚,73,73,68
74,己亥杂诗（九州生气恃风雷）,龚自珍,74,75,70
75,村居（草长莺飞二月天）,高鼎,75,74,69
-,乐游原（向晚意不适）,李商隐,-,-,44
