篇章,首句,作者,备注
**文言文**, , , 
精卫填海, ,《山海经·北山经》,改写
故人谈读书, ,《论语》、朱熹（《训学斋规》）、《曾国藩家训》, 
纪昌学射, ,《列子·汤问》, 
两小儿辩日, ,《列子·汤问》, 
学弈, ,《孟子·告子上》,改写
揠苗助长, ,《孟子·公孙丑上》, 
自相矛盾, ,《韩非子·难一》,改写
守株待兔, ,《韩非子·五蠹》, 
扁鹊治病, ,《韩非子·喻老》,改写
伯牙鼓琴, ,《吕氏春秋·本味》,改写
西门豹治邺, ,《史记·滑稽列传》,改写
将相和, ,《史记·廉颇蔺相如列传》,改写
大禹治水, ,《史记·五帝本纪》《史记·夏本纪》,改写
田忌赛马, ,《史记·孙子吴起列传》, 
亡羊补牢, ,《战国策·楚策四》, 
叶公好龙, ,刘向《新序·杂事》, 
曹冲称象, ,《三国志·魏书·邓哀王冲传》, 
萤囊夜读, ,《晋书·车胤传》, 
王戎不取道旁李, ,《世说新语·雅量》, 
杨氏之子, ,《世说新语·言语》,改写
司马光, ,《宋史·司马光传》,改写
书戴嵩画牛, ,苏轼, 
铁杵成针, ,祝穆《方舆胜览·眉州》, 
人之初（节选）,人之初，性本善。,《三字经》, 
对韵歌,云对雨，雪对风。,李渔《笠翁对韵》, 
 , , , 
**古诗词**, , , 
采薇（节选）,昔我往矣，杨柳依依,《诗经·小雅》, 
庭中有奇树,庭中有奇树,《古诗十九首》, 
迢迢牵牛星,迢迢牵牛星,《古诗十九首》, 
木兰诗,唧唧复唧唧,北朝民歌, 
龟虽寿,神龟虽寿,曹操, 
梁甫行,八方各异气,曹植, 
赠从弟（其二）,亭亭山上松,刘桢, 
蝉,垂緌饮清露,虞世南, 
行军九日思长安故园,强欲登高去,岑参, 
逢入京使,故园东望路漫漫,岑参, 
过故人庄,故人具鸡黍,孟浩然, 
宿建德江,移舟泊烟渚,孟浩然, 
采莲曲,荷叶罗裙一色裁,王昌龄, 
从军行（其四）,青海长云暗雪山,王昌龄, 
野望,东皋薄暮望,王绩, 
十五夜望月（寄杜郎中）,中庭地白树栖鸦,王建, 
汉江临眺,楚塞三湘接,王维, 
山居秋暝,空山新雨后,王维, 
鸟鸣涧,人闲桂花落,王维,◇
竹里馆,独坐幽篁里,王维, 
夜宿山寺,危楼高百尺,李白, 
独坐敬亭山,众鸟高飞尽,李白, 
峨眉山月歌,峨眉山月半轮秋,李白, 
春夜洛城闻笛,谁家玉笛暗飞声,李白, 
渡荆门送别,渡远荆门外,李白, 
闻官军收河南河北,剑外忽传收蓟北,杜甫, 
江南逢李龟年,岐王宅里寻常见,杜甫, 
寒食,春城无处不飞花,韩翃, 
晚春,草树知春不久归,韩愈, 
浪淘沙（其七）,八月涛声吼地来,刘禹锡,◇
秋词（其一）,自古逢秋悲寂寥,刘禹锡, 
大林寺桃花,人间四月芳菲尽,白居易, 
暮江吟,一道残阳铺水中,白居易, 
马诗（其五）,大漠沙如雪,李贺, 
贾生,宣室求贤访逐臣,李商隐, 
嫦娥,云母屏风烛影深,李商隐, 
夜上受降城闻笛,回乐峰前沙似雪,李益, 
乞巧,七夕今宵看碧霄,林杰, 
山村咏怀,一去二三里,邵雍, 
采桑子,轻舟短棹西湖好,欧阳修, 
卜算子·送鲍浩然之浙东,水是眼波横,王观, 
赠刘景文,荷尽已无擎雨盖,苏轼, 
送安惇秀才失解西归,旧书不厌百回读,苏轼, 
浣溪沙,山下兰芽短浸溪,苏轼, 
清平乐,春归何处,黄庭坚, 
如梦令,常记溪亭日暮,李清照, 
清平乐·村居,茅檐低小,辛弃疾, 
西江月·夜行黄沙道中,明月别枝惊鹊,辛弃疾, 
十一月四日风雨大作,僵卧孤村不自哀,陆游, 
宿新市徐公店（其二）,篱落疏疏一径深,杨万里, 
稚子弄冰,稚子金盆脱晓冰,杨万里, 
过松源晨炊漆公店（其五）,莫言下岭便无难,杨万里, 
夜书所见,萧萧梧叶送寒声,叶绍翁, 
约客,黄梅时节家家雨,赵师秀, 
雪梅（其一）,梅雪争春未肯降,卢钺, 
村晚,草满池塘水满陂,雷震, 
观书有感（其二）,昨夜江边春水生,朱熹, 
画鸡,头上红冠不同裁,唐寅,◇
舟夜书所见,月黑见渔灯,查慎行, 
长相思,山一程，水一程,纳兰性德, 
飞雪,一片两片三四片,爱新觉罗·弘历（乾隆）, 
赴戍登程口占示家人（其二）,力微任重久神疲,林则徐, 
潼关,终古高云簇此城,谭嗣同, 
画,远看山有色,佚名（王维/道川禅师）, 
二十四节气歌,春雨惊春清谷天,佚名, 
