序号,篇名,作者,2003版推荐
**（一）必修（10篇）**, , , 
1,《论语》十二章<br>（“人而不仁”“朝闻道”“君子喻于义”“见贤思齐焉”“质胜文则野”“士不可以不弘毅”“譬如为山”“知者不惑”“有一言而可以终身行之者乎”“小子何莫学夫《诗》”“君子食无求饱”“克己复礼为仁”）,《论语》, 
2,劝学<br>（学不可以已……用心躁也）,《荀子》,☆
3,屈原列传<br>（屈平疾王听之不聪也……虽与日月争光可也）,司马迁, 
4,谏太宗十思疏,魏征, 
5,师说,韩愈,☆
6,阿房宫赋,杜牧,☆
7,六国论,苏洵, 
8,答司马谏议书,王安石, 
9,赤壁赋,苏轼,☆
10,项脊轩志,归有光, 
 , , , 
**（二）选择性必修（10篇）**, , , 
1,子路、曾晳、冉有、公西华侍坐,《论语》, 
2,报任安书<br>（古者富贵而名摩灭……难为俗人言也）,司马迁, 
3,过秦论（上）,贾谊, 
4,礼运<br>（大道之行也……是谓大同）,《礼记》, 
5,陈情表,李密, 
6,归去来兮辞（并序）,陶潜, 
7,种树郭橐驼传,柳宗元, 
8,五代史伶官传序,欧阳修, 
9,石钟山记,苏轼, 
10,登泰山记,姚鼐, 
 , , , 
**（三）选修（12篇）**, , , 
1,《老子》八章<br>（第八章“上善若水”；第十二章“五色令人目盲”；第十五章“古之善为士者”；第二十二章“曲则全”；第二十四章“跂者不立”；第二十七章“善行无辙迹”；第三十三章“知人者智”；第八十一章“信言不美”）,《老子》, 
2,季氏将伐颛臾,《论语》, 
3,大学<br>（古之欲明明德于天下者……壹是皆以修身为本）,《礼记》, 
4,中庸<br>（喜怒哀乐之未发……万物育焉；博学之……人十能之，己千之）,《礼记》, 
5,《孟子》一则<br>（敢问夫子恶乎长……则不能也）,《孟子》, 
6,逍遥游<br>（惠子谓庄子曰……则夫子犹有蓬之心也夫）,《庄子》,☆
7,谏逐客书,李斯, 
8,兰亭集序,王羲之, 
9,滕王阁序,王勃, 
10,黄冈竹楼记,王禹偁, 
11,上枢密韩太尉书,苏辙, 
12,古代文论选段, , 
12.1,毛诗序<br>（诗者，志之所之也……不知手之舞之足之蹈之也）, , 
12.2,典论·论文<br>（盖文章，经国之大业……而声名自传于后）,曹丕, 
12.3,诗品序<br>（若乃春风春鸟……故曰：“《诗》可以群，可以怨。”）,锺嵘, 
12.4,与元九书<br>（感人心者……华声，实义）,白居易, 
12.5,题画<br>（江馆清秋……独画云乎哉）,郑燮, 
12.6,人间词话<br>（词以境界为最上……自有名句；境非独谓景物也……否则谓之无境界；古今之成大事业、大学问者……恐为晏欧诸公所不许也）,王国维, 
 , , , 
**诗词曲（40首）**, , , 
1,静女,《诗经·邶风》, 
2,无衣,《诗经·秦风》, 
3,离骚<br>（帝高阳之苗裔兮……来吾道夫先路）,屈原,☆
4,涉江采芙蓉,《古诗十九首》, 
5,短歌行,曹操, 
6,归园田居（其一）,陶潜, 
7,拟行路难（其四）,鲍照, 
8,春江花月夜,张若虚, 
9,山居秋暝,王维, 
10,蜀道难,李白,☆
11,梦游天姥吟留别,李白, 
12,将进酒,李白, 
13,燕歌行,高适, 
14,蜀相,杜甫, 
15,客至,杜甫, 
16,登高,杜甫,☆
17,登岳阳楼,杜甫, 
18,琵琶行（并序）,白居易,☆
19,李凭箜篌引,李贺, 
20,菩萨蛮（小山重叠金明灭）,温庭筠, 
21,锦瑟,李商隐,☆
22,虞美人（春花秋月何时了）,李煜,☆
23,望海潮（东南形胜）,柳永, 
24,桂枝香·金陵怀古,王安石, 
25,江城子·乙卯正月二十日夜记梦,苏轼, 
26,念奴娇·赤壁怀古,苏轼,☆
27,登快阁,黄庭坚, 
28,鹊桥仙（纤云弄巧）,秦观, 
29,苏幕遮（燎沉香）,周邦彦, 
30,声声慢（寻寻觅觅）,李清照, 
31,书愤（早岁那知世事艰）,陆游, 
32,临安春雨初霁,陆游, 
33,念奴娇·过洞庭,张孝祥, 
34,永遇乐·京口北固亭怀古,辛弃疾,☆
35,菩萨蛮·书江西造口壁,辛弃疾, 
36,青玉案·元夕,辛弃疾, 
37,贺新郎（国脉微如缕）,刘克庄, 
38,扬州慢（淮左名都）,姜夔, 
39,长亭送别（【正宫】【端正好】）,王实甫, 
40,朝天子·咏喇叭,王磐, 
-,氓 《诗经·卫风》, ,☆
