編號,小學,中學
1,垓下歌,國風‧關雎
2,江南,小雅‧蓼莪
3,長歌行,九歌‧山鬼
4,十五從軍征,古詩十九首（選二）（行行重行行、迢迢牽牛星）
5,庭中有奇樹,陌上桑
6,短歌行,怨歌行
7,七步詩,飲馬長城窟行
8,歸園田居（其三）,短歌行
9,雜詩（其一）,贈白馬王彪 並序
10,敕勒歌,飲酒（其五：結廬在人境）
11,木蘭詩,詠荊軻
12,詠螢,木蘭詩
13,詠鵝,送杜少府之任蜀州
14,送杜少府之任蜀州,春江花月夜
15,詠柳,登幽州臺歌
16,回鄉偶書,望月懷遠
17,春江花月夜,過故人莊
18,涼州詞,臨洞庭
19,涼州詞,古從軍行
20,登鸛鵲樓,芙蓉樓送辛漸
21,春曉,山居秋暝
22,九月九日憶山東兄弟,輞川閒居贈裴秀才廸
23,相思,宣州謝朓樓餞別校書叔雲
24,送元二使安西,將進酒
25,送別,黃鶴樓
26,山中送別,兵車行
27,鹿柴,茅屋為秋風所破歌
28,竹里館,登樓
29,閨怨,登高
30,出塞,白雪歌送武判官歸京
31,靜夜思,夜上受降城聞笛
32,送友人,節婦吟
33,黃鶴樓送孟浩然之廣陵,燕詩
34,望廬山瀑布,長恨歌
35,秋浦歌,賣炭翁
36,獨坐敬亭山,遣悲懷（其二：昔日戲言身後意；其三：閒坐悲君亦自悲）
37,贈汪倫,泊秦淮
38,早發白帝城,夜雨寄北
39,黃鶴樓,無題（相見時難別亦難）
40,兵車行,更漏子（玉爐香）
41,春望,謁金門（風乍起）
42,客至,相見歡（無言獨上西樓）
43,絕句,破陣子（四十年來家國）
44,月夜,虞美人（春花秋月何時了）
45,楓橋夜泊,明妃曲（兩首）
46,江村即事,和子由澠池懷舊
47,滁州西澗,登快閣
48,遊子吟,寄黃幾復
49,小松,書憤
50,初春小雨,正氣歌 並序
51,竹枝詞（其一）,雨霖鈴（寒蟬淒切）
52,烏衣巷,漁家傲（塞下秋來風景異）
53,賦得古原草送別,蘇幕遮（碧雲天）
54,暮江吟,浣溪沙（一曲新詞酒一杯）
55,問劉十九,蝶戀花（庭院深深深幾許）
56,憫農（其二）,生查子（去年元夜時）
57,江雪,鷓鴣天（彩袖慇勤捧玉鐘）
58,尋隱者不遇,水調歌頭 並序（明月幾時有）
59,近試上張籍水部,念奴嬌 赤壁懷古（大江東去）
60,金縷衣,江城子（十年生死兩茫茫）
61,贈別,鵲橋仙（纖雲弄巧）
62,泊秦淮,青玉案（凌波不過橫塘路）
63,山行,蘇幕遮（燎沉香）
64,清明,西河 金陵懷古（佳麗地）
65,江南春,漁家傲（天接雲濤連曉霧）
66,秋夕,聲聲慢 秋情（尋尋覓覓）
67,登樂遊原,一剪梅（紅藕香殘玉簟秋）
68,夜雨寄北,醉花陰（薄霧濃雲愁永晝）
69,官倉鼠,滿江紅（怒髮衝冠）
70,華山,釵頭鳳（紅酥手）
71,畫眉鳥,卜算子 詠梅（驛外斷橋邊）
72,淮中晚泊犢頭,破陣子（醉裏挑燈看劍）
73,梅花,水龍吟 登建康賞心亭（楚天千里清秋）
74,元日,摸魚兒（更能消幾番風雨）
75,登飛來峰,醜奴兒 書博山道中壁（少年不識愁滋味）
76,泊船瓜洲,揚州慢（淮左名都）
77,書湖陰先生壁,虞美人 聽雨（少年聽雨歌樓上）
78,飲湖上初晴後雨,高陽臺 西湖春感（接葉巢鶯）
79,題西林壁,邁陂塘（問世間）
80,惠崇春江晚景,四塊玉 閒適（南畝耕）
81,花影,一半兒 題情（雲鬟霧鬢勝堆鴉）
82,贈劉景文,沉醉東風 漁父黃蘆岸、白蘋渡口）
83,病牛,撥不斷（布衣中）
84,曉出淨慈寺送林子方,天淨沙 秋思（枯藤老樹昏鴉）
85,小池,〔中呂〕 十二月過堯民歌 別情（自別後遙山隱隱）
86,宿新市徐公店,山坡羊 潼關懷古（峰巒如聚）
87,觀書有感,〔南呂〕 一枝花 湖上歸（長天落綵霞）
88,春日,賣花聲 懷古（美人自刎烏江岸）
89,月兒彎彎照九州,水仙子 尋梅 （冬前冬後幾村莊）
90,題臨安邸,法場（《竇娥冤》第三折【耍孩兒】、【二煞】、【一煞】、【煞尾】）
91,約客,灞橋餞別（《破幽夢孤雁漢宫秋》第三折【步步嬌】、【殿前歡】、【七弟兄】）
92,遊園不值,五月十九日大雨
93,過零丁洋,臨江仙（滾滾長江東逝水）
94,墨梅（其三）,圓圓曲
95,素梅（其五十六）,雜感
96,石灰吟,己亥雜詩（其五：浩蕩離愁白日斜；其一百二十五：九州生氣恃風雷）
97,畫雞,對酒
98,風鳶圖詩（其一）,解珮令（十年磨劍）
99,竹石,蝶戀花（辛苦最憐天上月）
100,村居,餘韻（《桃花扇》續四十齣【秣陵秋】）
