序號,篇名,作者,考核作品
**第四學習階段**, , , 
1,國風·關雎,《詩經》, 
2,曹劌論戰,《左傳》, 
3,論仁、論孝、論君子,《論語》,※
4,魚我所欲也<br>（節錄自《孟子‧告子上》「孟子曰：魚，我所欲也」至「此之謂失其本心。」）,《孟子》,※
5,逍遙遊（節錄）<br>（自「惠子謂莊子曰」至「安所困苦哉」）,《莊子》,※
6,勸學（節錄）<br>（自「君子曰：學不可以已」至「行無過矣」、「吾嘗終日而思矣」至「善假於物也」及「積土成山」至「用心躁也」）,《荀子》,※
7,大學（節錄）<br>（自「大學之道：在明明德」至「而其所薄者厚，未之有也。」）,《禮記》, 
8,廉頗藺相如列傳（節錄）<br>（《史記》第八十一卷自「廉頗者，趙之良將也」至「為刎頸之交」）,司馬遷,※
9,出師表,諸葛亮,※
10,陳情表,李密, 
11,飲酒（其五）（結廬在人境）,陶潛, 
12,師說,韓愈,※
13,始得西山宴遊記,柳宗元,※
14,岳陽樓記,范仲淹,※
15,六國論,蘇洵,※
16,唐詩三首, , 
16.1,山居秋暝,王維,※
16.2,月下獨酌（其一）,李白,※
16.3,登樓,杜甫,※
17,宋詞三首, , 
17.1,念奴嬌·赤壁懷古（大江東去）,蘇軾,※
17.2,聲聲慢·秋情（尋尋覓覓）,李清照,※
17.3,青玉案·元夕（東風夜放花千樹）,辛棄疾,※
18,元曲兩首, , 
18.1,四塊玉·閒適（南畝耕）,關漢卿, 
18.2,沉醉東風·漁父詞,白樸, 
19,滿井遊記,袁宏道, 
20,左忠毅公軼事,方苞, 
