单元	专题	序号	课文	篇章	作者	页码
第一单元						1
	阅读	1	春		朱自清	2
		2	济南的冬天		老舍	6
		3	※ 雨的四季		刘湛秋	10
		4	古代诗歌四首			15
				观沧海	曹操	
				次北固山下	王湾	
				闻王昌龄左迁龙标遥有此寄	李白	
				天净沙·秋思	马致远	
			阅读综合实践			18
	写作		热爱写作，学会观察			20
						
第二单元						
	阅读					23
		5	秋天的怀念		史铁生	24
		6	散步		莫怀戚	27
		7	※ 散文诗二首			30
				金色花	泰戈尔	
				荷叶·母亲	冰心	
		8	《世说新语》二则			34
				咏雪		
				陈太丘与友期行		
			阅读综合实践			37
	写作		学会记事			39
	专题学习活动					
			有朋自远方来			41
						
第三单元						45
	阅读	9	从百草园到三味书屋		鲁迅	46
		10	往事依依		于漪	53
		11	※ 再塑生命的人		海伦·凯勒	57
		12	《论语》十二章			62
			阅读综合实践			66
	写作		如何突出中心			68
	整本书阅读					
			《朝花夕拾》精读、略读、浏览			71
	课外古诗词诵读					75
			峨眉山月歌		李白	
			江南逢李龟年		杜甫	
			行军九日思长安故园		岑参	
			夜上受降城闻笛		李益	
						
第四单元						77
	阅读	13	纪念白求恩		毛泽东	78
		14	回忆我的母亲		朱德	82
		15	※ 梅岭三章		陈毅	88
		16	诫子书		诸葛亮	91
			阅读综合实践			93
	写作		思路要清晰			95
	专题学习活动					
			少年正是读书时			98
						
第五单元	活动·探究					105
	任务一		体会人与动物的关系			106
		17	猫		郑振铎	108
		18	我的白鸽		陈忠实	113
		19	大雁归来		利奥波德	120
		20	狼		蒲松龄	125
	任务二		亲近动物，丰富生命体验			127
	任务三		记叙与动物的相处			129
						
第六单元						131
	阅读	21	小圣施威降大圣		吴承恩	132
		22	皇帝的新装		安徒生	136
		23	※ 女娲造人		袁珂	142
		24	寓言四则			146
				赫耳墨斯和雕像者	《伊索寓言》	
				蚊子和狮子	《伊索寓言》	
				穿井得一人	《吕氏春秋》	
				杞人忧天	《列子》	
			阅读综合实践			150
	写作		发挥联想和想象			151
	整本书阅读					
			《西游记》			154
	课外古诗词诵读					155
			秋词（其一）		刘禹锡	
			夜雨寄北		李商隐	
			十一月四日风雨大作（其二）		陆游	
			潼关		谭嗣同	
