单元	分类	序号	课文	文章	作者	页码
第一单元						1
	阅读	1	邓稼先		杨振宁	2
		2	说和做——记闻一多先生言行片段		臧克家	9
		3	※ 列夫·托尔斯泰		茨威格	13
		4	孙权劝学		《资治通鉴》	20
			阅读综合实践			22
	写作		写出人物特点			24
						
第二单元						27
	阅读	5	黄河颂		光未然	28
		6	老山界		陆定一	31
		7	谁是最可爱的人		魏巍	36
		8	※ 土地的誓言		端木蕻良	42
		9	木兰诗			46
			阅读综合实践			49
	写作		学习抒情			51
	专题学习活动		我的语文生活			54
						
第三单元						59
	阅读	10	阿长与《山海经》		鲁迅	60
		11	山地回忆		孙犁	67
		12	※ 台阶		李森祥	74
		13	卖油翁		欧阳修	82
			阅读综合实践			84
	写作		抓住细节			
	整本书阅读		《骆驼祥子》圈点、批注、做笔记			89
	课外古诗词诵读			竹里馆	王维	93
				春夜洛城闻笛	李白	
				逢入京使	岑参	
				晚春	韩愈	
						
第四单元						95
	阅读	14	驿路梨花		彭荆风	96
		15	青春之光		祝红蕾	101
		16	※ 有为有不为		季羡林	108
		17	短文两篇			111
				陋室铭	刘禹锡	
				爱莲说	周敦颐	
			阅读综合实践			114
	写作		怎样选材			115
	专题学习活动		孝亲敬老，传承家风			118
						
第五单元						121
	阅读	18	井冈翠竹		袁鹰	122
		19	紫藤萝瀑布		宗璞	127
		20	※ 外国诗二首			130
				假如生活欺骗了你	普希金	
				未选择的路	弗罗斯特	
		21	古代诗歌五首			133
				登幽州台歌	陈子昂	
				望岳	杜甫	
				登飞来峰	王安石	
				游山西村	陆游	
				己亥杂诗（其五）	龚自珍	
			阅读综合实践			137
	写作		语言要简明			139
	整本书阅读		《钢铁是怎样炼成的》			142
						
第六单元	活动·探究					143
	任务一 		阅读与探讨			144
		22	太空一日		杨利伟	145
		23	“蛟龙”探海		许晨	156
		24	带上她的眼睛		刘慈欣	161
		25	活板		沈括	169
	任务二		搜集与整理			172
	任务三		表达与呈现			173
	课外古诗词诵读		泊秦淮		杜牧	174
			贾生		李商隐	
			过松源晨炊漆公店（其五）		杨万里	
			约客		赵师秀	
