单元	序号	课文	作者	页码
第一单元				1
	1	（先秦诗歌两首）		
		氓	《诗经·卫风》	2
		离骚（节选）	屈原	3
	2	※ 孔雀东南飞并序		7
	3	（唐诗两首）		
		蜀道难	李白	14
		※ 蜀相	杜甫	16
	4	（宋词两首）		
		※ 望海潮（东南形胜）	柳永	17
		※ 扬州慢（淮左名都）	姜夔	18
	单元研习任务			20
				
第二单元				21
	5	（白话小说两篇）		
		阿Q正传（节选）	鲁迅	22
		※ 边城（节选）	沈从文	29
	6	（现代诗两首）		
		大堰河——我的保姆	艾青	41
		※ 再别康桥	徐志摩	45
	7	（散文两篇）		
		风景谈	茅盾	47
		※ 秦腔	贾平凹	51
	8	茶馆（节选）	老舍	57
	单元研习任务			69
				
第三单元				71
	9	（表志两篇）		
		陈情表	李密	72
		※ 项脊轩志	归有光	74
	10	（序两篇）		
		兰亭集序	王羲之	77
		归去来兮辞并序	陶渊明	79
	11	※ 种树郭橐驼传	柳宗元	83
	12	※ 石钟山记	苏轼	86
	单元研习任务			89
				
第四单元				91
	13	（科普文章两篇）		
		自然选择的证明	达尔文	92
		※ 宇宙的边疆	卡尔·萨根	98
	14	※ 天文学上的旷世之争	关增建	105
	单元研习任务			113
				
古诗词诵读				115
		拟行路难（其四）	鲍照	115
		客至	杜甫	116
		登快阁	黄庭坚	117
		临安春雨初霁	陆游	118
